pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
LIQUID HYDROFLUOSILICIC ACID,exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=79): Hydrofluosilicic acid is a chemical used in water treatment for fluoridation; maps to GROUP B category for treatment che"
CRP PROGRAM,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=78): CRP Program appears to be a grant or pass-through funding disbursement rather than a specific commodity or service purch"
"Hurst Hydraulic Equipment, New, Repair, Parts and Accessories",exact,Heavy Equipment & Machinery,560,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=77): Hurst equipment includes material handling and hydraulic systems; class 560 covers material handling and conveyors with "
COPIES,exact,Equipment Rental & Leasing,985,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=76): Generic 'COPIES' likely refers to copier services or lease, best mapped to copier accessories/lease class 985, though ex  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Maintenance, Repair, Replacement and New Installation of Combustion Controls Systems for HTW Generation System, Spec 132826",exact,Facilities Operations & Maintenance,031,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=76): Combustion controls systems for heating plants are HVAC-related equipment maintenance; code 031 covers HVAC equipment pa"
Paper shredding and recycling,exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=75): Paper shredding and recycling is a waste disposal/management service; code 968 covers disposal services, though it tradi"
"NEW HIGH INTENSITY DISCHARGE (HID), INCANDESCENT, FLUORESCENT AND MISCELLANEOUS LAMPS (GROUP E & F) (TRANSFERRED FROM PO# 33032)",exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=75): HID, incandescent, and fluorescent lamps are lighting products typically used for facilities maintenance and operations;"
Newsletter and annual calendars,exact,"Office, Print & Marketing",801,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=75): Newsletter and calendars are printed marketing/communication materials; class 801 covers printing of signage and posters"
"Buses - Shuttle, Transit, Trams & Other Specialty Buses - Purchase of E-Z Rider II Low-Floor Buses",exact,Vehicles & Fleet,070,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=75): Low-floor buses are transit vehicles, but NIGP class 070 (Trucks, Cab/Chassis) is the closest available match; a dedicat"
SNOW REMOVAL SERVICES (LANDSIDE) GROUP A - at CHICAGO O'HARE INT'L AIRPORT,exact,"Landscaping, Grounds & Irrigation",912,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=74): Snow removal at O'Hare is a landscape/grounds maintenance service; 912 covers landscape and irrigation maintenance servi"
F5 BIG IP Service Premium  Level 1 3    Technical Support,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=72): F5 BIG-IP is a network load balancing appliance; premium technical support for it aligns with network services, though t"
REMOVAL OF RUBBER AND CONTAMINANTS WITH HIGH PRESSURE WATER METHOD,exact,Heavy Equipment & Machinery,630,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=72): High-pressure water cleaning service aligns with power equipment and pressure washers (630), though the description coul  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
CRP Program,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=69): CRP (Community Renewal Program or similar acronym) appears to be a grant or funding program disbursement rather than a d"
SNOW REMOVAL SERVICES (LANDSIDE) (GROUP B) at CHICAGO O'HARE INT'L AIRPORT,exact,"Landscaping, Grounds & Irrigation",912,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=69): Snow removal at O'Hare is a landscape/grounds maintenance operation; NIGP 912 covers landscape and irrigation maintenanc"
PARTS AND SERVICE FOR SNOW EQUIPMENT AND ACCESSORIES (GROUP C: SCHMIDT/WAUSAU),exact,Heavy Equipment & Machinery,550,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=65): Snow equipment parts and service fit heavy equipment; 550 (POWER EQUIPMENT - OUTDOOR POWER EQUIPMENT, ATTACHMENTS, TOOLS"
Integrated Controls Systems Related Items,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=65): Integrated controls systems most likely refers to networked building automation or security systems, which aligns with n"
Health Screening and Diagnostic Services,exact,Medical & Health Services,948,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=64): Health screening and diagnostic services align with medical health services; code 948 (Medical Physical Examination Serv"
Fabricated Structural Steel,exact,Construction Materials,570,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=64): Fabricated structural steel is a construction material; code 570 covers structural steel with grade upcharges, though it  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Water,exact,Facilities Operations & Maintenance,390,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=64): Bottled drinking water is the most common water procurement, but the generic description lacks sufficient detail about q  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Palo Alto Networks Advanced URL Filtering   subscription license renewal  1,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=64): Cybersecurity URL filtering is a network security service; NIGP 920 (Network Services - Active Security Assessment) is t"
1249099: Term Agreement for Lead Service Line Replacements - District 4 (Group A),exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=62): Lead service line replacements constitute construction/repair work; NIGP 913 (Bridge/Infrastructure Maintenance) is the "
PROPERTY MANAGEMENT SERVICES FOR THE HAROLD WASHINGTON LIBRARY CENTER,exact,Professional & Administrative Services,958,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=60): Property management services for a city facility are administrative/management services; NIGP 958 (Management Service) i"
Palo Premium Support Program   extended service agreement  renewal    1 yea,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=59): Palo Alto Networks premium support is a technical service agreement for IT infrastructure maintenance and support, best "
Old Invoices for closeout for Skytech (security for centers),exact,Professional & Administrative Services,964,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=57): Skytech provides security services to city facilities, and NIGP 964 (Security Guards) is the closest match for security-"
Cisco SMARTnet extended service agreement,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=56): Cisco SMARTnet is a technical support and maintenance service for network equipment; 920 (Network Services) is the close"
43rd Street Pedestrian Bridge over South Lake Shore Drive,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=56): This is a bridge construction/infrastructure project; NIGP 913 covers bridge construction maintenance and repair, which "
"1221520: Installation, Repair and Replacement of Various Electrical, Lighting, Traffic Control, Security, Audio-Video and Public Address Systems Infrastructure at Chicago O'Hare and Midway International Airports",exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=54): This is airport facility maintenance and repair work covering multiple infrastructure systems at O'Hare and Midway, whic"
Liquid Aluminum Sulfate (Iron Free),exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=56): Aluminum sulfate is a water treatment chemical used in municipal water systems, best mapped to NIGP 180 (GROUP B chemica"
DOCKET PRINTOUT/COPY,exact,"Office, Print & Marketing",645,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=56): Docket printout/copy is a paper output service; 645 (Offset Paper) is the closest match for office paper-based work, tho"
"RADIOS, GROUND/TOWER, MARK-UP OR DISCOUNT FROMLATEST ICOM U.S. AVIONICS RETAIL PRODUCT AND PRICE CATALOG",exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=51): Ground/tower radios are telecommunications equipment; NIGP 725 covers telephone equipment and technical support services"
Business Internet/Cable Service,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=50): Business internet and cable service relate to telecom infrastructure and technical support, best mapped to telephone equ"
ComEd Dusk to Dawn lighting (50) Mar & Feb 2024 $691160.34,exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=50): Dusk-to-dawn lighting is a facilities lighting service; NIGP 285 covers lighting equipment, though this appears to be a "
BASE/METER CHARGES FOR XEROX EQUIP - DEC22,exact,Equipment Rental & Leasing,985,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=50): Xerox copier/printer equipment charges map to lease/rental of copier accessories, though the description lacks detail ab  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Legal Database - LexisNexis,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=50): LexisNexis is a legal research database service typically delivered digitally; mapped to network services as the closest"
ComEd Dusk to Dawn lighting (50) Mar & Apr 2024 $570825.81,exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=50): Dusk-to-dawn lighting service is a facilities operations expense; NIGP 285 (Lighting) is the closest match, though this "
PARTS AND SERVICES FOR LARGE WATER PUMPS AND STEAM TURBINES,exact,Facilities Operations & Maintenance,720,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=49): Water pump parts and maintenance services align with heavy equipment machinery; NIGP 720 covers pump parts specifically,  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"DECORATING SERVICES, SEASONAL AND EVENT - FIELD LABOR",exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=49): Seasonal and event decorating services are professional labor services; NIGP 915 (Advertising/Public Relations) is the c  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"COMED D2D Inv (50) - Oct 2023 Usage $523,674.07",exact,Professional & Administrative Services,926,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=49): Monthly utility invoice for facilities services to ComEd (electricity provider), best matched to ComEd monthly service f  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Tessco Catalog Wireless Communications Equipment Parts and Accessories (23% Discount),exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=47): Wireless communications equipment parts and accessories from a major telecom supplier map to telephone equipment and tec"
"ACCESSORIES, PARTS - 25%DISCOUNT FROM CHICAGO FAUCET PRICE LIST OR MOST CURRENT VERSION",exact,Facilities Operations & Maintenance,450,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=46): Faucet parts and accessories are miscellaneous plumbing/building components used for facilities maintenance, mapping to "
Cisco Catalyst 9300 Series Network Module   Expansion Module,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=44): Network expansion module is IT/networking equipment; 920 (NETWORK SERVICES) is the closest match though it typically des"
REQUEST FOR NEW BLANKET CONTRACT VIA RFP FOR TARGET MARKET PROPERTY MANAGEMENT SERVICES FOR MIDWAY INTERNATIONAL AIRPORT. CONTRACT TERM 5 YEARS + 181 DAY EXTENSION OPTION,exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=45): Property management services for an airport facility align with facility maintenance operations; 909 (Airport Facility M"
"PARTS FOR ANSUL, INC. EQUIPMENT - DISCOUNT FROM MSRP",exact,"Public Safety, Uniforms & PPE",340,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=45): Ansul manufactures fire suppression systems and related equipment; parts for such equipment typically fall under fire ex"
CONCESSIONS MANAGEMENT SERVICES AT THE O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,exact,Professional & Administrative Services,958,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=45): Concessions management is an airport facility service function; 958 (MANAGEMENT SERVICE) best fits the service fee natur"
1061649:SUPERVISORY CONTROL AND DATA ACQUISITION (SCADA) SYSTEM MAINTENANCE,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=44): SCADA system maintenance is IT infrastructure support; NIGP 920 (Network Services) is the closest fit for system mainten"
"MAINTENANCE, REPAIR AND PARTS ON PRESSROOM, BINDERY, PHOTOGRAPHIC EQUIPMENT AND LARGE FORMAT PRINTERS (GROUPS A & B)",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=44): Equipment covers printing, binding, and audio/visual systems; NIGP 939 addresses maintenance and repair of audio/visual "
821321A: LAMINATING SUPPLIES (THIS REPLACES PO# 109748),exact,"Office, Print & Marketing",700,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=44): Laminating supplies are office consumables used for document finishing and protection, best mapped to binding equipment "
Cisco Digital Network Architecture Advantage   Term License  3 years    48,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=43): Cisco software licensing for network services aligns with IT/Telecom category; NIGP 920 (Network Services) is the closes"
MARKETING AND COMMUNICATION SERVICES FOR THE COMMUNITY SAFETY COORDINATION CENTER (CSCC),exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=42): Marketing and communication services are professional services; NIGP 915 (Advertising/Public Relations) is the closest m  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
PURCHASE OF VARIOUS PRINTED FORMS,exact,"Office, Print & Marketing",700,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=41): Printed forms are binding and office supplies; class 700 covers binding equipment and supplies including covers and rela"
Internet Service,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=40): Internet service falls under IT/Telecom, mapped to Network Services (920); exact NIGP match uncertain due to generic des"
"MAINTENANCE OF THE INSTRUMENTATION CONTROLS, PUMPS, AND FANS FOR THE VARIABLE FREQUENCY DRIVE UNITS - REGULAR HOURLY LABOR RATE AS SPECIFIED (SERVICE TECHNICIAN)",exact,Professional & Administrative Services,926,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=41): Maintenance of instrumentation controls, pumps, and fans for VFD units is facilities mechanical maintenance; code 926 (M  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
CPD MONITOR,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=40): Monitor for Chicago Police Department likely refers to audio/visual display equipment; NIGP 939 covers maintenance and r"
1233226: ARTERIAL RESURFACING TERM AGREEMENT CENTRAL AREA,exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=40): Arterial resurfacing refers to road surface repair/replacement work typically involving asphalt; class 745 (hot mix asph  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"REFERENCE AGREEMENT FOR PEOPLE COUNTER SOFTWARE, HARDWARE, SERVICE AND SUPPORT",exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=39): People counter software and hardware with service support is IT infrastructure, best mapped to network services code 920"
THIRD PARTY CONVEYANCE DEVICE INSPECTIONS AT O'HARE INTERNATIONAL AIRPORT,exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=40): Conveyance device (elevator/escalator) inspection services at O'Hare align with facility maintenance, mapped to class 94"
Replacement of garbage/recycling carts,exact,"Janitorial, Sanitation & Waste",665,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=39): Garbage and recycling carts are waste containers; 665 covers receptacle liners and waste management supplies, though a p"
"MOST CURRENT DATED CATALOG - MINWAX PRODUCTS OR APPROVED EQUAL, (35% DISCOUNT FROM LIST)",exact,"Office, Print & Marketing",615,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=39): Minwax products are wood finishes and stains (adhesives/glues category), but could also be painting supplies; 615 (Adhes  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Business Internet Service,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=39): Business internet service is a telecommunications utility, closest to telephone equipment and technical support services"
Supervisory control and data acquisition (SCADA) systems maintenance,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=38): SCADA systems are industrial control and monitoring systems related to network/IT infrastructure; NIGP 920 (Network Serv"
"AV/IT Peoples Gas (37) Jan 2024 $47,615.92",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=37): AV/IT services for Peoples Gas facility likely involve audio/visual system maintenance and repair, which maps to NIGP 93"
CHICAGO STANDARD GATE VALVES AND ACCESSORIES,exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=37): Gate valves and accessories relate to water system infrastructure components; 670 (PIPE, WATER) is the closest NIGP clas  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"AV - IT People's Gas Inv (37) - JUL & AUG 2023 usage $10,763.61",exact,Facilities Operations & Maintenance,031,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=37): Invoice for utility usage (People's Gas for July & August 2023) most appropriately fits facilities operations, though th"
"1260172: Sand, Mason Fill and Stone (Groups A-C)",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=36): Sand and stone materials are construction aggregates; closest NIGP mapping aligns with construction materials related to  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"TECHNOLOGY AND SERVICES RELATING TO THE LEGISLATIVE MANAGEMENT DOCUMENT INTAKE SYSTEM WITH ONGOING UPDATES, MAINTENANCE, AND SUPPORT SPEC 984153",exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=35): Legislative document intake system is a technology service, but the exact nature (software licensing, network infrastruc"
THE HON COMPANY: DISCOUNT FROM CURRENT PRICE LIST AND PRODUCT GUIDE,exact,Furniture & Furnishings,425,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=35): The Hon Company is a major office furniture manufacturer, and a discount from their price list suggests furniture produc"
1126591: PROFESSIONAL ENGINEERING MANAGEMENT SERVICES FOR  PROJECT COORDINATION OFFICE (¿PCO¿) FOR THE OFFICE OF UNDERGROUND COORDINATION,exact,Professional & Administrative Services,958,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=35): Engineering management and project coordination services fall under professional services; NIGP 958 (Management Service/"
SALT PILE TARPAULIN COVERING AND INSTALLATION,exact,Heavy Equipment & Machinery,560,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=34): Salt pile covering is a material handling and storage component typically associated with salt conveyor/storage systems,  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
3M - Vinyl & Scotchrap tapes,exact,"Public Safety, Uniforms & PPE",360,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=34): Vinyl and Scotchrap tapes are adhesive/warning tapes commonly used in facilities maintenance and janitorial operations;   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1245676: WATER METER ACCESSORIES,exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=35): Water meter accessories fit facilities operations maintenance; class 941 (Testing Equipment - Water Meter Test Bench) is"
"CATCO FID, BID, GID, SYSTEM INTERGRATION TO SUPPORT THE T5 EXPANSION",exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=33): System integration services for T5 expansion at O'Hare airport best fits IT/network services; 920 (Network Services - Ac"
FUND REINBURSEMENT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=33): Fund reimbursement suggests a pass-through or reallocation of funds rather than a specific commodity or service procurem"
DOCKET PRINTOUT,exact,"IT, Telecom & Audio/Visual",207,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=32): Docket printout suggests printed office documents/forms, most closely aligned with printer accessories and supplies; how  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Infoblox Premium Maintenance   extended service agreement   shipment,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=32): Infoblox is a DNS/DHCP/IP address management platform requiring network services and maintenance; class 920 (Network Ser"
"DOIT BANDWIDTH -JUN - SEPT $4,450   2024",exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=32): Bandwidth service is a network/telecom service; 920 (Network Services) is the closest available NIGP match, though the d"
Progress Service Agreements   technical support  renewal    for WS FTP Serv,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=32): FTP (File Transfer Protocol) service technical support renewal clearly falls under IT/telecom services; NIGP 725 covers "
CONGA DOCUMENT AUTOMATION STE LIC,exact,Equipment Rental & Leasing,984,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=31): Conga is document automation software; mapped to plotter/scanner lease code as closest IT equipment lease match, though   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1258382: Liquid Cationic Polyelectrolyte,exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=30): Liquid cationic polyelectrolyte is a chemical used in water treatment processes, matching the Chemicals & Water Treatmen"
20241767 - T.G. CANON SEPT 2024 BILL x MFDS,exact,Equipment Rental & Leasing,985,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=30): Canon is a copier/multifunction device manufacturer; September 2024 bill likely represents equipment lease or service fe  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Intergovernmental Agreement with the State of Indiana for Vehicle and Driver Information,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=29): IGA with another state for information sharing suggests a pass-through or intergovernmental arrangement rather than a co"
"MAINTENANCE OF THE INSTRUMENTATION CONTROLS, PUMPS, AND FANS FOR THE VARIABLE FREQUENCY DRIVE UNITS - PREVENTIVE MAINTENANCE SERVICES, PER MONTH AS CALCULATED IN EXHIBIT A, LINE ITEM 1 PRICING WORKSHEET",exact,Facilities Operations & Maintenance,031,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=29): Preventive maintenance for HVAC/mechanical equipment (instrumentation, pumps, fans) maps to HVAC-related maintenance, th"
BUSSMAN BP-CPDS. DISCOUNT FROM LIST PRICE,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=29): Bussman BP-CPDS appears to be an electrical component (likely a circuit protector/fuse discount), which best maps to bat  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1204785: Arterial Street Resurfacing North Area - Project No. 91,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=28): Street resurfacing is a major construction project; class 913 (bridge construction maintenance/repair with traffic contr"
WATER METER INSTALLATION- CITY OF CHICAGO,exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=28): Water meter installation aligns with facility infrastructure maintenance; NIGP 941 (Testing Equipment - Water Meter Test"
Dell 24 Monitor - P2425H: Dell 24 Monitor - P2425HDell 24 Monitor - P2425H,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=28): Dell monitor is IT equipment; 939 covers maintenance/repair/purchase of audio/visual systems and components, which inclu"
"PARKING ACCESS AND REVENUE CONTROL TECHNOLOGY FOR CHICAGO O'HARE INTL AIRPORT, Spec# 99248",exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=28): Parking access and revenue control technology is a network/IT system service; class 920 (Network Services) is the closes"
Social Media Advertising,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=27): Social media advertising is a promotional/advertising service; NIGP 915 (Advertising/Public Relations) is the closest ma  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Thomson Reuters - Legal Database,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=27): Legal database subscription is a network/information technology service; code 920 (Network Services) is the closest matc"
Red Hat Extended Lifecycle Support   technical support   for Red Hat Enterp,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=27): Red Hat Enterprise support is a software/IT technical support service; 725 covers telephone equipment and technical supp"
"FLAGS, ALL TYPES - FLAGS - EDER FLAG COMPANY: MOST CURRENT CATALOG / PRICE LIST",exact,"Office, Print & Marketing",801,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=28): This is a generic catalog request for various flags from a flag manufacturer; while 350 (flagpole accessories) and 801 ("
GASKET MATERIAL - 56% DISCOUNT FROM CHICAGO CARD PRICE LIST OR MOST CURRENT VERSION,exact,Facilities Operations & Maintenance,450,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=26): Gasket material is a miscellaneous maintenance part for doors and equipment; code 450 (PARTS, MISCELLANEOUS DOOR) is the"
BALL VALVES BRASS FROM APOLLO - 24% DISCOUNT PRICE LIST OR MOST CURRENT VERSION,exact,Construction Materials,320,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=27): Ball valves are plumbing/construction components typically used in infrastructure repair and maintenance; NIGP 320 cover  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Chicago Community Land Trust,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=26): Chicago Community Land Trust appears to be a subgrant or pass-through funding disbursement to an external organization r"
Tuberculosis Clinical Services,exact,Medical & Health Services,948,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=26): Clinical services for tuberculosis testing/evaluation fit Medical & Health Services category; 948 (Medical Physical Exam"
Kofax Maintenance and Support   technical support   for Kofax Power PDF Adv,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=26): Kofax Power PDF is document management/imaging software; maintenance and support fits IT technical services best, though"
CATCO TERMINAL 5 CAPITAL IMPROVEMENT PROGRAM MANAGEMENT,exact,Professional & Administrative Services,958,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=26): Capital improvement program management is administrative oversight work; code 958 (Management Service) is the closest ma"
Cradlepoint NetCloud Essentials and Advanced for Mobile Routers   subscript,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=25): NetCloud Essentials is a cloud management/support service for Cradlepoint mobile routers; 725 covers telephone equipment"
SEVERAL INVOICES-CREASJ DATA RETRIEVAL,exact,Professional & Administrative Services,962,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=25): Data retrieval suggests records management or storage services; mapped to records storage (962) as closest match, though"
ORACLE DATA CENTER INFRASTRUCTURE- RFP 180233 QUOTE 5134613- ORACLE SUPPORT RENEWAL,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=25): Oracle support renewal for data center infrastructure relates to network services and IT system maintenance; class 920 ("
DBSYNC SALESFORCE ON PREM MIGRATION,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=25): Salesforce migration is an IT service involving network/system infrastructure work, best mapped to network services, tho"
CUSTODIAN VANDAL RESISTANT LOCKS AND REPAIR PARTS FOR FIRE HYDRANTS,exact,Facilities Operations & Maintenance,450,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=25): Fire hydrant locks and repair parts are facility maintenance components; code 450 covers miscellaneous door parts and lu"
2024 Airport Member DuesInvoice #10023-2024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): Airport member dues are a pass-through/membership fee funding disbursement rather than procurement of goods or services."
APC by Schneider Electric On Site Service   Extended Service   1 Year   Ser,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): APC by Schneider Electric provides power management and UPS systems; on-site extended service is a maintenance contract "
